"id";"phenomenonTime";"resultnumber";"resultnumbers";"resultTime";"resultQuality";"validTime";"parameters";"datastream_id";"multidatastream_id";"featureofinterest_id";"temperature";"humidity";"battery"
3;2021-10-08 15:09:18.000 +0200;;{2.6,16.107,NULL};2021-10-08 15:09:18.000 +0200;"";;"";;2;3;2.6;16.107;
29699;2021-11-15 15:27:20.000 +0100;;{0.2,15.688,NULL};2021-11-15 15:27:20.000 +0100;"";;"";;2;3;0.2;15.688;
29710;2021-11-15 15:42:28.000 +0100;;{0.2,15.748,NULL};2021-11-15 15:42:28.000 +0100;"";;"";;2;3;0.2;15.748;
29724;2021-11-15 15:57:38.000 +0100;;{0.15,15.868,100.0};2021-11-15 15:57:38.000 +0100;"";;"";;2;3;0.15;15.868;100.0
29725;2021-11-15 15:57:56.000 +0100;;{0.15,15.868,100.0};2021-11-15 15:57:56.000 +0100;"";;"";;2;3;0.15;15.868;100.0
29740;2021-11-15 16:13:04.000 +0100;;{0.2,15.988,NULL};2021-11-15 16:13:04.000 +0100;"";;"";;2;3;0.2;15.988;
29751;2021-11-15 16:28:13.000 +0100;;{0.15,16.047,NULL};2021-11-15 16:28:13.000 +0100;"";;"";;2;3;0.15;16.047;
29763;2021-11-15 16:43:21.000 +0100;;{0.2,16.107,NULL};2021-11-15 16:43:21.000 +0100;"";;"";;2;3;0.2;16.107;
29774;2021-11-15 16:58:29.000 +0100;;{0.2,16.227,NULL};2021-11-15 16:58:29.000 +0100;"";;"";;2;3;0.2;16.227;
29785;2021-11-15 17:13:38.000 +0100;;{0.2,16.227,NULL};2021-11-15 17:13:38.000 +0100;"";;"";;2;3;0.2;16.227;
29796;2021-11-15 17:28:46.000 +0100;;{0.2,16.107,NULL};2021-11-15 17:28:46.000 +0100;"";;"";;2;3;0.2;16.107;
29807;2021-11-15 17:43:54.000 +0100;;{0.15,16.047,NULL};2021-11-15 17:43:54.000 +0100;"";;"";;2;3;0.15;16.047;
29819;2021-11-15 17:59:02.000 +0100;;{0.2,15.988,NULL};2021-11-15 17:59:02.000 +0100;"";;"";;2;3;0.2;15.988;
29830;2021-11-15 18:14:11.000 +0100;;{0.2,15.868,100.0};2021-11-15 18:14:11.000 +0100;"";;"";;2;3;0.2;15.868;100.0
29842;2021-11-15 18:29:19.000 +0100;;{0.2,15.808,NULL};2021-11-15 18:29:19.000 +0100;"";;"";;2;3;0.2;15.808;
29853;2021-11-15 18:44:27.000 +0100;;{0.2,15.748,NULL};2021-11-15 18:44:27.000 +0100;"";;"";;2;3;0.2;15.748;
29864;2021-11-15 18:59:36.000 +0100;;{0.2,15.628,NULL};2021-11-15 18:59:36.000 +0100;"";;"";;2;3;0.2;15.628;
29875;2021-11-15 19:14:44.000 +0100;;{0.2,15.688,NULL};2021-11-15 19:14:44.000 +0100;"";;"";;2;3;0.2;15.688;
29887;2021-11-15 19:29:52.000 +0100;;{0.2,15.568,NULL};2021-11-15 19:29:52.000 +0100;"";;"";;2;3;0.2;15.568;
29898;2021-11-15 19:45:00.000 +0100;;{0.2,15.508,NULL};2021-11-15 19:45:00.000 +0100;"";;"";;2;3;0.2;15.508;
29910;2021-11-15 20:00:09.000 +0100;;{0.2,15.449,NULL};2021-11-15 20:00:09.000 +0100;"";;"";;2;3;0.2;15.449;
29922;2021-11-15 20:15:17.000 +0100;;{0.2,15.389,NULL};2021-11-15 20:15:17.000 +0100;"";;"";;2;3;0.2;15.389;
29933;2021-11-15 20:30:25.000 +0100;;{0.2,15.389,NULL};2021-11-15 20:30:25.000 +0100;"";;"";;2;3;0.2;15.389;
29944;2021-11-15 20:45:33.000 +0100;;{0.2,15.269,100.0};2021-11-15 20:45:33.000 +0100;"";;"";;2;3;0.2;15.269;100.0
29956;2021-11-15 21:00:42.000 +0100;;{0.2,15.209,NULL};2021-11-15 21:00:42.000 +0100;"";;"";;2;3;0.2;15.209;
29967;2021-11-15 21:15:50.000 +0100;;{0.2,15.209,NULL};2021-11-15 21:15:50.000 +0100;"";;"";;2;3;0.2;15.209;
29978;2021-11-15 21:30:58.000 +0100;;{0.2,15.089,NULL};2021-11-15 21:30:58.000 +0100;"";;"";;2;3;0.2;15.089;
29989;2021-11-15 21:46:08.000 +0100;;{0.2,15.089,NULL};2021-11-15 21:46:08.000 +0100;"";;"";;2;3;0.2;15.089;
29990;2021-11-15 21:46:19.000 +0100;;{0.2,15.089,NULL};2021-11-15 21:46:19.000 +0100;"";;"";;2;3;0.2;15.089;
30002;2021-11-15 22:01:28.000 +0100;;{0.2,15.089,NULL};2021-11-15 22:01:28.000 +0100;"";;"";;2;3;0.2;15.089;
30014;2021-11-15 22:16:36.000 +0100;;{0.2,14.97,NULL};2021-11-15 22:16:36.000 +0100;"";;"";;2;3;0.2;14.97;
30025;2021-11-15 22:31:44.000 +0100;;{0.2,14.91,NULL};2021-11-15 22:31:44.000 +0100;"";;"";;2;3;0.2;14.91;
30036;2021-11-15 22:46:52.000 +0100;;{0.2,14.85,NULL};2021-11-15 22:46:52.000 +0100;"";;"";;2;3;0.2;14.85;
30048;2021-11-15 23:02:01.000 +0100;;{0.2,14.79,100.0};2021-11-15 23:02:01.000 +0100;"";;"";;2;3;0.2;14.79;100.0
30060;2021-11-15 23:17:09.000 +0100;;{0.15,14.67,NULL};2021-11-15 23:17:09.000 +0100;"";;"";;2;3;0.15;14.67;
30072;2021-11-15 23:32:17.000 +0100;;{0.2,14.61,NULL};2021-11-15 23:32:17.000 +0100;"";;"";;2;3;0.2;14.61;
30073;2021-11-15 23:32:28.000 +0100;;{0.2,14.61,NULL};2021-11-15 23:32:28.000 +0100;"";;"";;2;3;0.2;14.61;
30084;2021-11-15 23:47:36.000 +0100;;{0.2,14.55,NULL};2021-11-15 23:47:36.000 +0100;"";;"";;2;3;0.2;14.55;
30096;2021-11-16 00:03:16.000 +0100;;{0.2,14.491,NULL};2021-11-16 00:03:16.000 +0100;"";;"";;2;3;0.2;14.491;
30107;2021-11-16 00:18:26.000 +0100;;{0.2,14.431,NULL};2021-11-16 00:18:26.000 +0100;"";;"";;2;3;0.2;14.431;
30119;2021-11-16 00:33:34.000 +0100;;{0.2,14.371,NULL};2021-11-16 00:33:34.000 +0100;"";;"";;2;3;0.2;14.371;
30131;2021-11-16 00:48:42.000 +0100;;{0.2,14.311,100.0};2021-11-16 00:48:42.000 +0100;"";;"";;2;3;0.2;14.311;100.0
30143;2021-11-16 01:03:51.000 +0100;;{0.2,14.191,NULL};2021-11-16 01:03:51.000 +0100;"";;"";;2;3;0.2;14.191;
30154;2021-11-16 01:18:59.000 +0100;;{0.2,14.071,NULL};2021-11-16 01:18:59.000 +0100;"";;"";;2;3;0.2;14.071;
